Details,Sta ID,Route,BEGIN_MP,END_MP,County,AADT,Year,Map,
,034F56,034-CS-1157  -000,0,0.3390,Fayette,4971,2024,,
,034040,034-KY-0353  -000,1.1830,4.1970,Fayette,4949,2023,,
,034C06,034-CS-3544  -000,0,1.2150,Fayette,4938,2024,,
,034270,034-KY-0859  -000,0,1.4820,Fayette,4920,2024,,
,034E90,034-CS-2353  -000,0.6370,0.71,Fayette,4897,2024,,
,034B93,034-CS-4735  -000,0,1.0730,Fayette,4888,2022,,
,034N57,034-CS-4937  -000,0.9850,1.9320,Fayette,4847,2024,,
,034D07,034-CS-1375  -000,0,0.8540,Fayette,4827,2024,,
,034F70,034-CS-3130  -000,0,1.3060,Fayette,4785,2022,,
,034M69,034-CS-2495  -000,0,0.4520,Fayette,4764,2024,,
,057P88,034-KY-1267  -000,0,1.2160,Fayette,4746,2024,,
,034E01,034-CS-2751  -000,0,0.9840,Fayette,4692,2023,,
,034B78,034-KY-1968  -000,5.1770,6.0190,Fayette,4571,2024,,
,057021,034-CS-3420  -000,0,0.0720,Fayette,4474,2024,,
,034D26,034-CS-3166  -000,0,1.0870,Fayette,4467,2024,,
,034E89,034-CS-3820  -000,0.4120,0.5040,Fayette,4450,2023,,
,034C99,034-CS-7437  -000,0,0.2410,Fayette,4414,2016,,
,034277,034-KY-0859  -000,1.4820,3.1840,Fayette,4368,2020,,
,034C73,034-CS-3605  -000,0.7080,1.6960,Fayette,4308,2023,,
,034C26,034-CS-1378  -000,0.07,0.2330,Fayette,4306,2023,,
,034F34,034-CS-3527  -000,0,0.4220,Fayette,4300,2024,,
,034E86,034-IC-8104AU-000,0,0.3080,Fayette,4298,2024,,
,034H81,034-CS-3513  -000,0.8520,1.4390,Fayette,4292,2024,,
,034E87,034-CS-3817  -000,0.5060,0.7250,Fayette,4283,2024,,
,034E87,034-IC-8104AA-000,0,0.24,Fayette,4283,2024,,
,034M49,034-CS-4051  -000,0,1.0360,Fayette,4241,2023,,
,034276,034-KY-0057  -000,8.0780,8.62,Fayette,4232,2023,,
,034M55,034-CS-2523  -000,1.5790,2.0610,Fayette,4164,2024,,
